"Invalid email address.","El pedido no puede ser efectuado a causa de un error en la dirección del correo electrónico. Por favor, corríjalo e inténtelo de nuevo."
"Invalid phone number.","El pedido no puede ser efectuado a causa de un error en el número de teléfono. Por favor, corríjalo e inténtelo de nuevo."
"Invalid country code.","La identificación de zona no es sustentada. Por favor, contacte con el gestor de la tienda."
"Unsupported country code.","El código BIC indicado no es válido."
"Invalid BIC.","El pedido no puede ser ejecutado a causa de un error en el código BIC. Por favor, corríjalo e inténtelo de nuevo."
"Only German addresses (DE) are supported.","El pedido no puede ser ejecutado a causa de un error en la identificación de zona. La dirección de envío y de facturación deben estar en Alemania. Por favor, corríjalo e inténtelo de nuevo."
"Product only supports German sender accounts.","Sólo se sustentarán cuentas alemanas. Por favor, corríjalo y elija otra forma de pago."
"Invoice amount exceeds amount limit in factoring contract.","El importe total es muy elevado. Por favor corríjalo e inténtelo de nuevo."
"Invoice amount is lower than minimum amount defined in project settings.","El importe total es muy bajo. Por favor, corríjalo e inténtelo de nuevo."
"Invalid tax, allowed values are: 7, 19.","El valor de IVA erróneo. Valores válidos: 0, 7, 19."
"Validation of given bank account and bank code failed.","La validación de la cuenta bancaria y del  código de identificación bancaria no ha resultado "
"Maximum length of 255 characters exceeded.","El cantidad máxima de 255 caracteres ha sido superada."
"Invalid items found.","La solicitud contenía posiciones no válidas en la cesta de la compra. Por favor, corríjalo o contacte con el gestor de la tienda."
"Payment not possible with this service.","Por favor, como mínimo indique el titular de la cuenta e inténtelo de nuevo."
"Transaction with same data already created.","Ya existe una transacción con los datos transmitidos por usted."
"This service is currently only accessible by non-commercial customers.","Compra por factura está de momento sólo a disposición de clientes particulares."
"Version Number","Número de versión"
"https://images.sofort.com/de/su/landing.php","https://images.sofort.com/es/su/landing.php"
"https://images.sofort.com/de/su/banner_150x200.png","https://images.sofort.com/es/su/banner_150x200.png"
"https://images.sofort.com/de/sl/logo_155x50.png","https://images.sofort.com/es/sl/logo_155x50.png"
"https://images.sofort.com/de/sl/banner_300x100.png","https://images.sofort.com/es/sl/banner_300x100.png"
"https://images.sofort.com/de/su/logo_155x50.png","https://images.sofort.com/es/su/logo_155x50.png"
"https://images.sofort.com/de/su/banner_400x100_ks.png","https://images.sofort.com/es/su/banner_400x100_ks.png"
"https://images.sofort.com/de/su/banner_300x100.png","https://images.sofort.com/es/su/banner_300x100.png"
"Kauf auf Rechnung not allowed for downloadable or virtual products","Productos virtuales no pueden ser pagados con la opción compra con factura (previo envío)."
"Successfully edit invoice.","La factura ha sido tramitada."
"Could not edit invoice.","La factura no puede ser tramitada."
"The invoice has been edit.","La factura ha sido actualizada."
"quantity increase is not allowed","No puede añadir más artículos."
"price increase is not allowed","No puede subir el precio"
"your invoice amount will automatically be deducted from your your bank account.","Su cuenta bancaria será cargada automáticamente "
"number","Número de factura"
"bank_holder","Titular de la cuenta"
"bank_account_number","Número de cuenta"
"bank_code","Código de identificación bancaria"
"bank_name","Entidad bancaria"
"reason","Propósito"
"date","Fecha de facturación"
"due_date","Vencimiento"
"debitor_text","Texto para la cesión de crédito"
"Amount increase not allowed","El importe de la factura no puede superar el importe original."
"Amount have to be positive","El importe de la factura debe ser positivo."
"Invoice will be canceled","Atención: La factura será ahora anulada por completo"
"Old Amount:","Precio total anterior:"
"New Amount:","Precio total actual:"
"Holding order status","Estado de pedido temporal (Defina el estado de los pedidos aún no pagados.)"
"Confirmed order status","Estado del pedido confirmado (Determine el estado de los pedidos llevados a cabo a través de SOFORT Banking.)"
"Loss order status","Estado de los pedidos no pagados (Determine el estado de los pedidos que han de ser revisados.)"
"Refund order status","Estado de los pedidos en caso de restitución (Determine el estado de los pedidos que han de ser restituidos.)"
"Unconfirmed order status","Determine el estado de los pedidos que han de ser confirmados por el ofertante (para efectuar la factorización.)"
"Confirmed invoice order status","Estado de pedidos confirmado (Determine el estado de los pedidos confirmados por el ofertante.)"
"reason_help","Placeholder:<br/><ul><li>Número de pedido: {{ordernr}}</li><li>El cliente: {{name}}</li><li>Fecha de facturación: {{date}}</li><li>Shopname: {{shopname}}</li><li>Transaction: {{transaction}}</li></ul>"

