"Invalid tax, allowed values are: 7, 19.","Wert für Mehrwertsteuer fehlerhaft. Gültige Werte: 0, 7, 19."
"Validation of given bank account and bank code failed.","Die Validierung des Bankkontos und der Bankleitzahl ist fehlgeschlagen."
"Maximum length of 255 characters exceeded.","Die maximale Anzahl von 255 Zeichen wurde überschritten."
"Invalid items found.","Die Anfrage enthielt ungültige Warenkorbpositionen. Bitte korrigieren Sie dies oder kontaktieren Sie den Shopbetreiber."
"Payment not possible with this service.","Bitte geben Sie mindestens den Kontoinhaber an und versuchen Sie es dann erneut."
"Transaction with same data already created.","Eine Transaktion mit den von Ihnen übermittelten Daten existiert bereits."
"This service is currently only accessible by non-commercial customers.","Kauf auf Rechnung steht momentan nur Privatkunden zur Verfügung."
"Version Number","Versionsnummer"
"https://images.sofort.com/de/su/landing.php","https://images.sofort.com/de/su/landing.php"
"https://images.sofort.com/de/su/banner_150x200.png","https://images.sofort.com/de/su/banner_150x200.png"
"https://images.sofort.com/de/sl/logo_155x50.png","https://images.sofort.com/de/sl/logo_155x50.png"
"https://images.sofort.com/de/sl/banner_300x100.png","https://images.sofort.com/de/sl/banner_300x100.png"
"https://images.sofort.com/de/su/logo_155x50.png","https://images.sofort.com/de/su/logo_155x50.png"
"https://images.sofort.com/de/su/banner_400x100_ks.png","https://images.sofort.com/de/su/banner_400x100_ks.png"
"https://images.sofort.com/de/su/banner_300x100.png","https://images.sofort.com/de/su/banner_300x100.png"
"Kauf auf Rechnung not allowed for downloadable or virtual products","Virtuelle Produkte können nicht mit Kauf auf Rechnung bezahlt werden."
"Successfully edit invoice.","Rechnung erfolgreich bearbeitet."
"Could not edit invoice.","Rechnung kann nicht bearbeitet werden."
"The invoice has been edit.","Die Rechnung wurde angepasst."
"quantity increase is not allowed","Sie können nicht mehr Artikel hinzufügen"
"price increase is not allowed","Sie können den Preis nicht erhöhen"
"your invoice amount will automatically be deducted from your your bank account.","Ihr Bankkonto wird automatisch per Lastschrift belastet"
"number","Rechnungsnummer"
"bank_holder","Kontoinhaber"
"bank_account_number","Kontonummer"
"bank_code","Bankleitzahl"
"bank_name","Kreditinstitute"
"reason","Verwendungszweck"
"date","Rechnungsdatum"
"due_date","Fälligkeit"
"debitor_text","Text zur Forderungsabtretung"
"Amount increase not allowed","Der Rechnungsbetrag darf nicht höher sein als der ursprüngliche Betrag."
"Amount have to be positive","Der Rechnungsbetrag muss positiv sein."
"Invoice will be canceled","Achtung: Die Rechnung wird jetzt komplett storniert."
"Old Amount:","Vorheriger Gesamtpreis:"
"New Amount:","Neuer Gesamtpreis:"
"Holding order status","Temporärer Bestellstatus (Definieren Sie den Status für Bestellungen, die noch nicht bezahlt wurden.)"
"Confirmed order status","Bestätigter Bestellstatus (Definieren Sie den Status für Bestellungen, die mit SOFORT Überweisungen erfolgreich abgeschlossen wurden.)"
"Loss order status","Bestellstatus bei nicht erfolgter Zahlung (Definieren Sie den Status für Bestellungen, die einer Überprüfung bedürfen.)"
"Refund order status","Bestellstatus bei Teil-Rückerstattung (Definieren Sie den Status für Bestellungen, die teilweise erstattet werden.)"
"Unconfirmed order status","Definieren Sie den Status für Bestellungen, die vom Anbieter bestätigt werden müssen (um den Forderungsankauf zu vollziehen)."
"Confirmed invoice order status","Bestätigter Bestellstatus (Definieren Sie den Status für Bestellungen, die vom Anbieter bestätigt wurden.)"
"reason_help","Folgende Platzhalter sind erlaubt:
<ul><li>Bestellnummer: {{ordernr}}</li>
<li>Kundenname: {{name}}</li>
<li>Datum: {{date}}</li>
<li>Shopname: {{shopname}}</li>
<li>Transaction: {{transaction}}</li></ul>"
